age,tenure_months,monthly_charges,support_tickets,monthly_logins,late_payment,contract_type,internet_service,payment_method,paperless_billing,has_dependents,satisfaction_score,data_usage_gb,churn
23,15,54.9,2,16,0,Month-to-month,DSL,Bank transfer,0,0,2,62.3,1
62,3,126.07,0,13,0,Month-to-month,DSL,Bank transfer,0,0,5,60.3,1
55,46,142.7,1,17,0,One year,Fiber optic,Bank transfer,1,1,3,37.8,1
43,50,46.66,2,14,1,Month-to-month,DSL,Credit card,0,0,8,67.8,0
43,56,27.02,2,15,0,Month-to-month,Fiber optic,Bank transfer,1,0,6,48.5,0
67,69,90.33,0,9,1,Month-to-month,DSL,Mailed check,1,0,6,126.2,0
22,36,143.84,0,11,0,Month-to-month,Fiber optic,Electronic check,1,0,8,18.2,1
58,60,124.12,1,13,0,Month-to-month,DSL,Credit card,0,1,5,30.9,1
29,52,132.3,2,13,0,Two year,DSL,Credit card,0,0,2,45.6,1
23,20,84.45,1,14,0,One year,Fiber optic,Credit card,1,1,8,95.4,0
48,61,57.59,1,11,0,Month-to-month,Fiber optic,Credit card,1,0,10,81.2,0
74,4,105.08,1,14,0,Month-to-month,Fiber optic,Electronic check,1,1,5,70.9,1
60,44,52.7,0,12,0,One year,Fiber optic,Credit card,1,0,8,21.7,0
62,68,136.2,1,13,0,One year,None,Credit card,1,1,7,35.3,0
59,48,51.51,4,18,0,Month-to-month,DSL,Mailed check,1,0,1,48.5,0
63,68,66.6,0,17,0,One year,None,Credit card,1,0,2,88.2,0
47,5,101.05,5,11,0,Month-to-month,None,Electronic check,1,0,7,50.8,1
25,39,97.87,0,18,0,Month-to-month,Fiber optic,Mailed check,1,0,4,74.5,0
66,57,116.14,2,16,0,Month-to-month,DSL,Mailed check,1,0,3,68.7,0
44,47,89.99,1,7,0,Two year,None,Mailed check,1,0,6,74.8,0
47,64,167.12,3,14,0,Month-to-month,Fiber optic,Electronic check,1,0,6,33.5,1
39,34,154.39,0,16,0,One year,DSL,Credit card,1,0,10,82.4,0
28,50,160.66,0,18,0,Month-to-month,None,Credit card,1,0,10,72.2,1
71,31,120.72,3,14,0,Month-to-month,Fiber optic,Credit card,1,1,1,120.9,0
63,63,121.6,0,13,0,Month-to-month,Fiber optic,Mailed check,1,0,5,41.7,0
55,9,117.47,4,12,0,Month-to-month,Fiber optic,Electronic check,0,1,8,59.6,1
41,19,89.58,1,11,0,One year,None,Bank transfer,1,0,4,23.7,0
65,7,71.54,2,12,0,One year,Fiber optic,Bank transfer,0,0,5,17.9,0
49,51,114.72,1,15,0,Month-to-month,None,Electronic check,0,0,7,131.1,1
43,17,24.09,0,16,0,Month-to-month,DSL,Mailed check,1,1,8,66.9,0
44,23,21.19,2,14,1,Month-to-month,Fiber optic,Electronic check,1,0,10,16.9,0
31,61,156.26,1,14,1,One year,Fiber optic,Credit card,1,0,2,71.3,1
23,26,27.43,2,16,0,Month-to-month,DSL,Bank transfer,1,0,5,41.5,0
50,11,103.97,3,16,0,Two year,DSL,Mailed check,1,0,6,74.1,0
69,2,118.4,0,17,0,Month-to-month,DSL,Mailed check,1,0,9,84.5,1
21,17,51.71,5,14,0,Month-to-month,DSL,Electronic check,1,0,5,63.5,1
67,66,163.32,2,12,0,One year,Fiber optic,Credit card,1,0,1,44.9,1
66,40,50.42,0,10,1,One year,DSL,Bank transfer,1,0,4,54.3,0
34,72,161.52,3,15,0,Month-to-month,Fiber optic,Credit card,0,0,10,75.9,1
54,16,142.08,1,7,0,Month-to-month,None,Electronic check,1,1,1,82.1,1
27,26,58.52,2,7,0,Month-to-month,Fiber optic,Mailed check,1,1,10,32.7,1
61,12,44.12,3,16,0,Month-to-month,Fiber optic,Bank transfer,0,0,6,20.7,0
58,29,70.6,3,16,0,One year,Fiber optic,Electronic check,0,0,3,25.0,0
38,41,83.67,1,11,1,One year,None,Bank transfer,1,1,4,46.5,0
21,59,59.33,2,13,0,Month-to-month,Fiber optic,Mailed check,1,0,4,80.6,0
74,27,179.82,2,10,0,Month-to-month,DSL,Bank transfer,1,0,10,48.2,1
43,56,56.74,1,23,0,One year,Fiber optic,Credit card,0,0,9,23.1,0
69,46,152.9,0,11,0,One year,Fiber optic,Mailed check,0,0,8,62.5,0
57,22,45.46,1,10,0,One year,Fiber optic,Credit card,1,0,1,51.4,0
63,66,176.84,0,24,0,One year,DSL,Electronic check,0,0,1,83.6,1
62,32,56.08,0,11,0,Month-to-month,Fiber optic,Credit card,1,0,9,28.5,0
29,11,87.47,1,14,1,One year,None,Credit card,1,1,4,65.7,0
39,70,109.37,1,20,0,Month-to-month,None,Credit card,1,0,2,61.4,0
45,66,39.25,2,21,0,One year,Fiber optic,Bank transfer,0,0,3,73.2,0
46,4,150.69,3,13,0,Month-to-month,Fiber optic,Mailed check,0,1,7,90.5,1
20,65,63.95,2,12,0,One year,DSL,Bank transfer,1,1,7,13.1,0
49,69,107.88,0,18,0,Month-to-month,Fiber optic,Bank transfer,0,0,3,35.8,0
26,60,107.94,0,12,0,Month-to-month,DSL,Mailed check,0,0,6,49.0,0
61,19,116.42,2,11,1,Month-to-month,None,Mailed check,1,0,9,35.5,0
57,46,28.88,2,12,0,One year,Fiber optic,Mailed check,0,0,4,58.4,0
71,39,46.98,0,14,0,One year,DSL,Mailed check,0,1,2,49.4,0
61,45,45.79,2,18,0,Month-to-month,DSL,Credit card,1,0,3,23.2,0
39,45,68.33,1,12,0,Month-to-month,Fiber optic,Mailed check,1,0,10,74.9,0
74,47,43.19,1,13,1,Month-to-month,Fiber optic,Bank transfer,0,0,5,27.4,0
41,38,167.51,1,11,1,One year,Fiber optic,Bank transfer,0,0,8,58.9,0
36,50,102.07,2,11,0,Month-to-month,Fiber optic,Bank transfer,1,1,3,25.2,0
70,38,119.77,0,14,0,One year,Fiber optic,Electronic check,1,0,9,58.8,1
39,2,77.2,1,16,0,One year,DSL,Electronic check,0,0,2,49.0,0
22,3,64.2,1,10,1,Two year,DSL,Mailed check,1,0,2,53.3,1
45,69,100.51,4,10,0,Month-to-month,DSL,Credit card,0,0,9,60.9,0
64,66,67.09,1,25,0,Two year,Fiber optic,Electronic check,1,0,7,85.6,0
28,43,74.98,1,12,0,Month-to-month,Fiber optic,Electronic check,1,0,10,40.1,0
44,13,92.44,0,12,1,One year,DSL,Electronic check,0,0,6,22.0,0
25,57,100.92,1,17,0,One year,Fiber optic,Electronic check,1,0,8,46.5,0
57,11,177.49,1,14,0,Two year,DSL,Bank transfer,1,1,6,87.0,0
45,28,55.73,3,8,0,Month-to-month,DSL,Mailed check,1,0,1,8.4,0
37,24,98.08,0,11,0,One year,DSL,Electronic check,0,0,4,21.9,0
31,1,43.92,0,10,0,One year,Fiber optic,Bank transfer,1,0,10,48.0,0
50,59,76.0,0,11,1,Two year,DSL,Bank transfer,0,0,10,91.8,0
56,37,134.77,1,12,0,Month-to-month,None,Mailed check,0,0,5,37.1,1
72,23,47.91,1,10,1,One year,DSL,Mailed check,1,0,9,46.8,0
43,37,113.02,1,11,0,Month-to-month,Fiber optic,Mailed check,1,1,3,34.5,0
27,1,86.67,1,19,1,Two year,None,Bank transfer,1,0,4,40.7,0
66,32,28.25,0,16,0,One year,DSL,Mailed check,1,1,8,77.0,0
54,38,169.29,1,20,0,One year,Fiber optic,Bank transfer,1,1,1,83.7,0
58,25,86.18,4,10,0,Month-to-month,Fiber optic,Mailed check,1,0,1,79.9,1
23,60,145.43,1,17,0,One year,DSL,Mailed check,1,1,3,73.0,0
36,18,86.61,2,12,0,One year,DSL,Electronic check,0,0,1,26.1,1
62,10,169.98,0,12,0,Month-to-month,Fiber optic,Electronic check,0,0,6,122.1,1
66,38,66.48,1,15,0,One year,DSL,Credit card,0,1,8,116.1,0
43,64,85.96,0,14,0,Month-to-month,DSL,Mailed check,1,0,7,49.0,0
64,28,141.42,1,17,0,Month-to-month,Fiber optic,Bank transfer,1,0,2,89.8,1
66,4,74.99,3,6,0,One year,DSL,Credit card,0,0,9,11.6,0
40,70,78.3,0,24,0,Month-to-month,None,Credit card,0,1,5,94.8,0
70,32,179.17,0,20,0,One year,None,Electronic check,1,1,4,57.9,0
34,13,108.9,4,11,0,Month-to-month,None,Credit card,1,0,6,27.9,1
31,45,130.3,3,16,0,One year,DSL,Mailed check,0,0,2,97.2,1
57,24,122.95,0,16,0,Month-to-month,None,Mailed check,1,0,10,114.7,0
54,68,152.47,1,17,0,One year,Fiber optic,Mailed check,1,1,5,13.6,0
26,22,157.89,2,18,0,One year,Fiber optic,Bank transfer,1,0,4,79.9,1
66,40,110.12,1,12,0,One year,Fiber optic,Bank transfer,1,0,7,96.5,0
29,40,67.13,1,13,1,Month-to-month,Fiber optic,Electronic check,1,0,4,105.6,0
64,18,23.65,1,13,1,One year,Fiber optic,Bank transfer,1,0,8,11.2,0
18,36,118.3,1,17,0,Month-to-month,Fiber optic,Bank transfer,1,0,5,18.6,1
64,8,152.08,1,19,1,Month-to-month,Fiber optic,Credit card,0,0,9,20.1,1
63,47,92.09,2,12,0,Month-to-month,DSL,Mailed check,0,1,5,75.7,0
63,55,46.35,1,17,1,Month-to-month,DSL,Bank transfer,1,0,7,119.3,0
56,69,66.09,4,16,1,One year,Fiber optic,Mailed check,1,0,6,66.5,0
45,24,101.6,1,22,0,Month-to-month,Fiber optic,Electronic check,1,0,10,38.3,0
58,21,153.87,2,12,1,One year,Fiber optic,Bank transfer,0,0,9,112.4,1
34,40,47.48,3,9,0,One year,Fiber optic,Credit card,1,0,5,115.2,0
63,50,117.94,1,12,0,Month-to-month,Fiber optic,Electronic check,0,0,8,125.6,0
50,72,140.54,1,7,0,Month-to-month,DSL,Credit card,0,0,3,27.8,1
44,2,169.77,2,10,0,Month-to-month,Fiber optic,Mailed check,0,0,9,22.2,1
47,18,38.67,3,18,0,Month-to-month,DSL,Electronic check,1,0,7,16.8,0
50,19,168.22,0,15,0,Month-to-month,Fiber optic,Bank transfer,1,0,4,22.0,1
20,19,116.23,0,14,0,One year,Fiber optic,Electronic check,1,0,9,12.7,1
26,34,142.67,2,13,0,Two year,None,Credit card,0,1,8,89.1,0
32,63,28.6,5,12,1,Month-to-month,DSL,Electronic check,1,1,2,65.4,0
24,3,100.98,0,9,1,Month-to-month,Fiber optic,Mailed check,0,0,10,227.1,0
43,59,119.62,3,9,1,One year,Fiber optic,Mailed check,0,0,3,51.5,1
56,45,69.09,2,10,0,Two year,DSL,Bank transfer,0,0,1,55.5,0
